,id,title,description,cost,prize_id,item_ids
0,1,魔方行动,2016年夏季活动视频,506-1000,5001,0
1,2,失温症,2017年冬季活动视频,506-1000,5002,0
2,3,深层映射,2017年夏季活动视频,506-1000,5003,0
3,4,塌缩点,2018年冬季活动视频,506-1000,5008,0
4,5,有序紊流,2018年夏季活动视频,506-1000,5014,0
5,6,异构体,2019年冬季活动视频,506-1000,5015,0
6,7,裂变链接,2019年夏季活动视频,506-1000,5017,0
7,8,诡疫狂潮,2019年万圣活动视频,506-1000,5018,0
8,9,雪夜杀礼异想曲,2019年圣诞活动视频,506-1000,5019,0
9,10,偏振光,2020年冬季活动视频,506-1000,5020,0
10,11,照相馆谜题,2020白情活动视频,506-1000,5021,0
11,12,碧海秘闻,2020年海滩活动视频,506-1000,5022,0
12,13,双联乱数,2020年夏季活动视频,506-1000,5023,0
13,14,镜像论-Protean,2021年冬季活动视频-Protean,506-1000,5026,0
14,15,镜像论-Decalcomanie,2021年冬季活动视频-Decalcomanie,506-1000,5024,0
15,16,熵减焓增,2021年夏季活动视频,506-1000,5025,0
